"gene.symble","TPM"
"OR10A7",0
"CCR8",0
"OR1E1",0
"OR3A1",0
"WFDC9",0
"FAM71C",0
"SLC9A4",0
"ZNF816",0
"GPR139",0
"WFDC10A",0
"ALX1",0
"KCTD4",0
"KRTAP9-7",0
"DEFB123",0
"OR6K6",0
"SERTM1",0
"GAS1",0
"GLIPR1L2",0
"GSX2",0
"SSTR2",0
"OR4E1",0
"OR2A4",0
"MAB21L1",0
"OR10K2",0
"AGTR2",0
"OR51E1",0
"ZFP3",0
"HOXC9",0
"HOXC10",0
"BHLHE22",0
"ZNF443",0
"DEFB112",0
"OR56B4",0
"OR56A1",0
"ST20",0
"OR52E4",0
"OR52N1",0
"OR52N5",0
"C17orf47",0
"TRAPPC5",0
"FCRL6",0
"PENK",0
"OR5AK2",0
"TMEM102",0
"SPEM1",0
"OR5M8",0
"CCL13",0
"SAGE1",0
"SOX2",0
"CDRT1",0
"OR6T1",0
"OR8D4",0
"MAB21L2",0
"EDDM3B",0
"EDDM3A",0
"TMIE",0
"OR52D1",0
"OR52H1",0
"SLX1B",0
"P2RY13",0
"OR8H1",0
"OR5T1",0
"OR5T2",0
"OR2Z1",0
"OR8K5",0
"OR8H3",0
"OR8H2",0
"TMEM252",0
"OR5AS1",0
"ACTL9",0
"TIGIT",0
"FTMT",0
"OR4P4",0
"OR4C15",0
"OR4A15",0
"OR4A16",0
"OR52K2",0
"NEUROG1",0
"TRIM49B",0
"OR52A1",0
"PTCHD3",0
"OR6B2",0
"FAM181B",0
"ZNF716",0
"MRGPRG",0
"CRYGB",0
"LDOC1",0
"ZAR1",0
"MBD3L3",0
"PRAMEF8",0
"LIPF",0
"OR5P3",0
"DAOA",0
"IFNL1",0
"CDY2A",0
"OTOL1",0
"KCNK4",0
"TBPL2",0
"CLEC4G",0
"SATB1",0
"EPHB3",0
"VCX",0
"KRTAP11-1",0
"OR2V2",0
"RXFP3",0
"OR10G7",0
"NDN",0
"OR4Q3",0
"GALR2",0
"CMC4",0
"HOXB4",0
"SLC35D3",0
"HCAR2",0
"OR2T29",0
"MAGEB17",0
"KRTAP13-2",0
"GPIHBP1",0
"OR4F15",0
"TCHHL1",0
"WFDC10B",0
"SPATA13",0
"SOX1",0
"OR4M2",0
"ZNF662",0
"OR1G1",0
"CYLC1",0
"LYPD4",0
"CALHM3",0
"ANKRD20A2",0
"TMEM119",0
"C2CD4C",0
"POTEC",0
"OR51B4",0
"OR52E8",0
"OR5P2",0
"FAM9A",0
"MAGEA2B",0
"OR2T34",0
"OR52L1",0
"BOLA2",0
"GBP6",0
"OVCH2",0
"OR56A4",0
"PMCH",0
"TFDP3",0
"TRIM61",0
"XAGE1C",0
"KLRC4",0
"C10orf120",0
"PGPEP1L",0
"GKN2",0
"GOLGA8G",0
"TP53TG3",0
"KRTAP8-1",0
"C11orf88",0
"MARCH11",0
"PTPN20B",0
"CTAG1A",0
"NOG",0
"MRGPRX2",0
"OR4N4",0
"IFNL2",0
"NPBWR1",0
"FIGLA",0
"BPY2",0
"FOXL2",0
"BPY2B",0
"NUDT14",0
"PNMA3",0
"CNGA2",0
"LRRC55",0
"SH2D1A",0
"OR2T10",0
"KRTAP20-2",0
"CTAG1B",0
"TRIML1",0
"CLDN5",0
"OR4F6",0
"CNTN2",0
"SPRR4",0
"OR10J5",0
"OR1D2",0
"UBE2F",0
"DGAT2L6",0
"OLIG1",0
